Sexo;Comunidad autónoma;Familia profesional;Total
Mujeres;Principado de Asturias;ELECTRICIDAD Y ELECTRÓNICA;55,6
Mujeres;Principado de Asturias;ENERGÍA Y AGUA;.
Mujeres;Principado de Asturias;FABRICACIÓN MECÁNICA;0,0
Mujeres;Principado de Asturias;HOSTELERÍA Y TURISMO;63,2
Mujeres;Principado de Asturias;IMAGEN PERSONAL;61,7
Mujeres;Principado de Asturias;IMAGEN Y SONIDO;.
Mujeres;Principado de Asturias;INDUSTRIAS ALIMENTARIAS;.
Mujeres;Principado de Asturias;INDUSTRIAS EXTRACTIVAS;.
Mujeres;Principado de Asturias;INFORMÁTICA Y COMUNICACIONES;50,0
Mujeres;Principado de Asturias;INSTALACIÓN Y MANTENIMIENTO;.
Mujeres;Principado de Asturias;MADERA, MUEBLE Y CORCHO;50,0
Mujeres;Principado de Asturias;MARÍTIMO-PESQUERA;.
Mujeres;Principado de Asturias;QUÍMICA;.
Mujeres;Principado de Asturias;SANIDAD;.
Mujeres;Principado de Asturias;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;Principado de Asturias;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Mujeres;Principado de Asturias;TEXTIL, CONFECCIÓN Y PIEL;.
Mujeres;Principado de Asturias;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;47,3
Mujeres;Principado de Asturias;VIDRIO Y CERÁMICA;.
Mujeres;Islas Baleares;ACTIVIDADES FÍSICAS Y DEPORTIVAS;36,4
Mujeres;Islas Baleares;ADMINISTRACIÓN Y GESTIÓN;73,5
Mujeres;Islas Baleares;AGRARIA;80,4
Mujeres;Islas Baleares;ARTES GRÁFICAS;90,0
Mujeres;Islas Baleares;ARTES Y ARTESANÍAS;.
Mujeres;Islas Baleares;COMERCIO Y MARKETING;83,6
Mujeres;Islas Baleares;EDIFICACIÓN Y OBRA CIVIL;.
Mujeres;Islas Baleares;ELECTRICIDAD Y ELECTRÓNICA;100,0
Mujeres;Islas Baleares;ENERGÍA Y AGUA;.
Mujeres;Islas Baleares;FABRICACIÓN MECÁNICA;100,0
Mujeres;Islas Baleares;HOSTELERÍA Y TURISMO;81,3
Mujeres;Islas Baleares;IMAGEN PERSONAL;76,1
Mujeres;Islas Baleares;IMAGEN Y SONIDO;.
Mujeres;Islas Baleares;INDUSTRIAS ALIMENTARIAS;.
Mujeres;Islas Baleares;INDUSTRIAS EXTRACTIVAS;.
Mujeres;Islas Baleares;INFORMÁTICA Y COMUNICACIONES;71,3
Mujeres;Islas Baleares;INSTALACIÓN Y MANTENIMIENTO;.
Mujeres;Islas Baleares;MADERA, MUEBLE Y CORCHO;.
Mujeres;Islas Baleares;MARÍTIMO-PESQUERA;.
Mujeres;Islas Baleares;QUÍMICA;.
Mujeres;Islas Baleares;SANIDAD;.
Mujeres;Islas Baleares;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;Islas Baleares;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Mujeres;Islas Baleares;TEXTIL, CONFECCIÓN Y PIEL;.
Mujeres;Islas Baleares;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;78,3
Mujeres;Islas Baleares;VIDRIO Y CERÁMICA;.
Mujeres;Canarias;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Mujeres;Canarias;ADMINISTRACIÓN Y GESTIÓN;70,1
Mujeres;Canarias;AGRARIA;65,8
Mujeres;Canarias;ARTES GRÁFICAS;.
Mujeres;Canarias;ARTES Y ARTESANÍAS;.
Mujeres;Canarias;COMERCIO Y MARKETING;72,2
Mujeres;Canarias;EDIFICACIÓN Y OBRA CIVIL;61,8
Mujeres;Canarias;ELECTRICIDAD Y ELECTRÓNICA;56,1
Mujeres;Canarias;ENERGÍA Y AGUA;.
Mujeres;Canarias;FABRICACIÓN MECÁNICA;75,0
Mujeres;Canarias;HOSTELERÍA Y TURISMO;76,9
Mujeres;Canarias;IMAGEN PERSONAL;69,1
Mujeres;Canarias;IMAGEN Y SONIDO;.
Mujeres;Canarias;INDUSTRIAS ALIMENTARIAS;.
Mujeres;Canarias;INDUSTRIAS EXTRACTIVAS;.
Mujeres;Canarias;INFORMÁTICA Y COMUNICACIONES;57,6
Mujeres;Canarias;INSTALACIÓN Y MANTENIMIENTO;0,0
Mujeres;Canarias;MADERA, MUEBLE Y CORCHO;63,5
Mujeres;Canarias;MARÍTIMO-PESQUERA;.
Mujeres;Canarias;QUÍMICA;.
Mujeres;Canarias;SANIDAD;.
Mujeres;Canarias;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;Canarias;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;79,5
Mujeres;Canarias;TEXTIL, CONFECCIÓN Y PIEL;50,0
Mujeres;Canarias;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;46,7
Mujeres;Canarias;VIDRIO Y CERÁMICA;.
Mujeres;Cantabria;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Mujeres;Cantabria;ADMINISTRACIÓN Y GESTIÓN;96,1
Mujeres;Cantabria;AGRARIA;79,4
Mujeres;Cantabria;ARTES GRÁFICAS;100,0
Mujeres;Cantabria;ARTES Y ARTESANÍAS;.
Mujeres;Cantabria;COMERCIO Y MARKETING;68,9
Mujeres;Cantabria;EDIFICACIÓN Y OBRA CIVIL;.
Mujeres;Cantabria;ELECTRICIDAD Y ELECTRÓNICA;53,8
Mujeres;Cantabria;ENERGÍA Y AGUA;.
Mujeres;Cantabria;FABRICACIÓN MECÁNICA;.
Mujeres;Cantabria;HOSTELERÍA Y TURISMO;84,0
Mujeres;Cantabria;IMAGEN PERSONAL;81,9
Mujeres;Cantabria;IMAGEN Y SONIDO;.
Mujeres;Cantabria;INDUSTRIAS ALIMENTARIAS;70,0
Mujeres;Cantabria;INDUSTRIAS EXTRACTIVAS;.
Mujeres;Cantabria;INFORMÁTICA Y COMUNICACIONES;92,2
Mujeres;Cantabria;INSTALACIÓN Y MANTENIMIENTO;.
Mujeres;Cantabria;MADERA, MUEBLE Y CORCHO;80,0
Mujeres;Cantabria;MARÍTIMO-PESQUERA;.
Mujeres;Cantabria;QUÍMICA;.
Mujeres;Cantabria;SANIDAD;.
Mujeres;Cantabria;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;Cantabria;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Mujeres;Cantabria;TEXTIL, CONFECCIÓN Y PIEL;92,9
Mujeres;Cantabria;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;60,9
Mujeres;Cantabria;VIDRIO Y CERÁMICA;.
Mujeres;Castilla y León;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Mujeres;Castilla y León;ADMINISTRACIÓN Y GESTIÓN;69,3
Mujeres;Castilla y León;AGRARIA;64,6
Mujeres;Castilla y León;ARTES GRÁFICAS;.
Mujeres;Castilla y León;ARTES Y ARTESANÍAS;.
Mujeres;Castilla y León;COMERCIO Y MARKETING;70,5
Mujeres;Castilla y León;EDIFICACIÓN Y OBRA CIVIL;50,0
Mujeres;Castilla y León;ELECTRICIDAD Y ELECTRÓNICA;69,8
Mujeres;Castilla y León;ENERGÍA Y AGUA;.
Mujeres;Castilla y León;FABRICACIÓN MECÁNICA;55,9
Mujeres;Castilla y León;HOSTELERÍA Y TURISMO;64,0
Mujeres;Castilla y León;IMAGEN PERSONAL;64,9
Mujeres;Castilla y León;IMAGEN Y SONIDO;.
Mujeres;Castilla y León;INDUSTRIAS ALIMENTARIAS;26,3
Mujeres;Castilla y León;INDUSTRIAS EXTRACTIVAS;.
Mujeres;Castilla y León;INFORMÁTICA Y COMUNICACIONES;61,8
Mujeres;Castilla y León;INSTALACIÓN Y MANTENIMIENTO;.
Mujeres;Castilla y León;MADERA, MUEBLE Y CORCHO;75,0
Mujeres;Castilla y León;MARÍTIMO-PESQUERA;.
Mujeres;Castilla y León;QUÍMICA;.
Mujeres;Castilla y León;SANIDAD;.
Mujeres;Castilla y León;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;Castilla y León;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Mujeres;Castilla y León;TEXTIL, CONFECCIÓN Y PIEL;71,4
Mujeres;Castilla y León;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;70,8
Mujeres;Castilla y León;VIDRIO Y CERÁMICA;.
Mujeres;Castilla La Mancha;ACTIVIDADES FÍSICAS Y DEPORTIVAS;90,6
Mujeres;Castilla La Mancha;ADMINISTRACIÓN Y GESTIÓN;76,8
Mujeres;Castilla La Mancha;AGRARIA;69,4
Mujeres;Castilla La Mancha;ARTES GRÁFICAS;69,4
Mujeres;Castilla La Mancha;ARTES Y ARTESANÍAS;.
Mujeres;Castilla La Mancha;COMERCIO Y MARKETING;74,8
Mujeres;Castilla La Mancha;EDIFICACIÓN Y OBRA CIVIL;.
Mujeres;Castilla La Mancha;ELECTRICIDAD Y ELECTRÓNICA;53,2
Mujeres;Castilla La Mancha;ENERGÍA Y AGUA;.
Mujeres;Castilla La Mancha;FABRICACIÓN MECÁNICA;77,8
Mujeres;Castilla La Mancha;HOSTELERÍA Y TURISMO;73,5
Mujeres;Castilla La Mancha;IMAGEN PERSONAL;78,7
Mujeres;Castilla La Mancha;IMAGEN Y SONIDO;.
Mujeres;Castilla La Mancha;INDUSTRIAS ALIMENTARIAS;82,6
Mujeres;Castilla La Mancha;INDUSTRIAS EXTRACTIVAS;.
Mujeres;Castilla La Mancha;INFORMÁTICA Y COMUNICACIONES;71,0
Mujeres;Castilla La Mancha;INSTALACIÓN Y MANTENIMIENTO;50,0
Mujeres;Castilla La Mancha;MADERA, MUEBLE Y CORCHO;0,0
Mujeres;Castilla La Mancha;MARÍTIMO-PESQUERA;.
Mujeres;Castilla La Mancha;QUÍMICA;.
Mujeres;Castilla La Mancha;SANIDAD;.
Mujeres;Castilla La Mancha;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;Castilla La Mancha;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Mujeres;Castilla La Mancha;TEXTIL, CONFECCIÓN Y PIEL;72,3
Mujeres;Castilla La Mancha;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;65,5
Mujeres;Castilla La Mancha;VIDRIO Y CERÁMICA;.
Mujeres;Cataluña;ACTIVIDADES FÍSICAS Y DEPORTIVAS;..
Mujeres;Cataluña;ADMINISTRACIÓN Y GESTIÓN;..
Mujeres;Cataluña;AGRARIA;..
Mujeres;Cataluña;ARTES GRÁFICAS;..
Mujeres;Cataluña;ARTES Y ARTESANÍAS;..
Mujeres;Cataluña;COMERCIO Y MARKETING;..
Mujeres;Cataluña;EDIFICACIÓN Y OBRA CIVIL;..
Mujeres;Cataluña;ELECTRICIDAD Y ELECTRÓNICA;..
Mujeres;Cataluña;ENERGÍA Y AGUA;..
Mujeres;Cataluña;FABRICACIÓN MECÁNICA;..
Mujeres;Cataluña;HOSTELERÍA Y TURISMO;..
Mujeres;Cataluña;IMAGEN PERSONAL;..
Mujeres;Cataluña;IMAGEN Y SONIDO;..
Mujeres;Cataluña;INDUSTRIAS ALIMENTARIAS;..
Mujeres;Cataluña;INDUSTRIAS EXTRACTIVAS;..
Mujeres;Cataluña;INFORMÁTICA Y COMUNICACIONES;..
Mujeres;Cataluña;INSTALACIÓN Y MANTENIMIENTO;..
Mujeres;Cataluña;MADERA, MUEBLE Y CORCHO;..
Mujeres;Cataluña;MARÍTIMO-PESQUERA;..
Mujeres;Cataluña;QUÍMICA;..
Mujeres;Cataluña;SANIDAD;..
Mujeres;Cataluña;SEGURIDAD Y MEDIO AMBIENTE;..
Mujeres;Cataluña;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;..
Mujeres;Cataluña;TEXTIL, CONFECCIÓN Y PIEL;..
Mujeres;Cataluña;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;..
Mujeres;Cataluña;VIDRIO Y CERÁMICA;..
Mujeres;Comunitat Valenciana;ACTIVIDADES FÍSICAS Y DEPORTIVAS;100,0
Mujeres;Comunitat Valenciana;ADMINISTRACIÓN Y GESTIÓN;80,7
Mujeres;Comunitat Valenciana;AGRARIA;78,6
Mujeres;Comunitat Valenciana;ARTES GRÁFICAS;77,1
Mujeres;Comunitat Valenciana;ARTES Y ARTESANÍAS;.
Mujeres;Comunitat Valenciana;COMERCIO Y MARKETING;80,6
Mujeres;Comunitat Valenciana;EDIFICACIÓN Y OBRA CIVIL;42,2
Mujeres;Comunitat Valenciana;ELECTRICIDAD Y ELECTRÓNICA;73,5
Mujeres;Comunitat Valenciana;ENERGÍA Y AGUA;.
Mujeres;Comunitat Valenciana;FABRICACIÓN MECÁNICA;84,1
Mujeres;Comunitat Valenciana;HOSTELERÍA Y TURISMO;79,1
Mujeres;Comunitat Valenciana;IMAGEN PERSONAL;77,9
Mujeres;Comunitat Valenciana;IMAGEN Y SONIDO;.
Mujeres;Comunitat Valenciana;INDUSTRIAS ALIMENTARIAS;85,9
Mujeres;Comunitat Valenciana;INDUSTRIAS EXTRACTIVAS;.
Mujeres;Comunitat Valenciana;INFORMÁTICA Y COMUNICACIONES;80,6
Mujeres;Comunitat Valenciana;INSTALACIÓN Y MANTENIMIENTO;100,0
Mujeres;Comunitat Valenciana;MADERA, MUEBLE Y CORCHO;95,0
Mujeres;Comunitat Valenciana;MARÍTIMO-PESQUERA;71,4
Mujeres;Comunitat Valenciana;QUÍMICA;.
Mujeres;Comunitat Valenciana;SANIDAD;.
Mujeres;Comunitat Valenciana;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;Comunitat Valenciana;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;58,9
Mujeres;Comunitat Valenciana;TEXTIL, CONFECCIÓN Y PIEL;83,6
Mujeres;Comunitat Valenciana;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;67,8
Mujeres;Comunitat Valenciana;VIDRIO Y CERÁMICA;83,2
Mujeres;Extremadura;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Mujeres;Extremadura;ADMINISTRACIÓN Y GESTIÓN;76,6
Mujeres;Extremadura;AGRARIA;76,3
Mujeres;Extremadura;ARTES GRÁFICAS;69,2
Mujeres;Extremadura;ARTES Y ARTESANÍAS;.
Mujeres;Extremadura;COMERCIO Y MARKETING;72,3
Mujeres;Extremadura;EDIFICACIÓN Y OBRA CIVIL;100,0
Mujeres;Extremadura;ELECTRICIDAD Y ELECTRÓNICA;57,5
Mujeres;Extremadura;ENERGÍA Y AGUA;.
Mujeres;Extremadura;FABRICACIÓN MECÁNICA;100,0
Mujeres;Extremadura;HOSTELERÍA Y TURISMO;68,5
Mujeres;Extremadura;IMAGEN PERSONAL;69,0
Mujeres;Extremadura;IMAGEN Y SONIDO;.
Mujeres;Extremadura;INDUSTRIAS ALIMENTARIAS;67,3
Mujeres;Extremadura;INDUSTRIAS EXTRACTIVAS;.
Mujeres;Extremadura;INFORMÁTICA Y COMUNICACIONES;53,1
Mujeres;Extremadura;INSTALACIÓN Y MANTENIMIENTO;.
Mujeres;Extremadura;MADERA, MUEBLE Y CORCHO;40,7
Mujeres;Extremadura;MARÍTIMO-PESQUERA;.
Mujeres;Extremadura;QUÍMICA;.
Mujeres;Extremadura;SANIDAD;.
Mujeres;Extremadura;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;Extremadura;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;97,3
Mujeres;Extremadura;TEXTIL, CONFECCIÓN Y PIEL;.
Mujeres;Extremadura;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;100,0
Mujeres;Extremadura;VIDRIO Y CERÁMICA;.
Mujeres;Galicia;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Mujeres;Galicia;ADMINISTRACIÓN Y GESTIÓN;81,6
Mujeres;Galicia;AGRARIA;85,6
Mujeres;Galicia;ARTES GRÁFICAS;85,6
Mujeres;Galicia;ARTES Y ARTESANÍAS;.
Mujeres;Galicia;COMERCIO Y MARKETING;83,7
Mujeres;Galicia;EDIFICACIÓN Y OBRA CIVIL;81,8
Mujeres;Galicia;ELECTRICIDAD Y ELECTRÓNICA;86,4
Mujeres;Galicia;ENERGÍA Y AGUA;.
Mujeres;Galicia;FABRICACIÓN MECÁNICA;87,5
Mujeres;Galicia;HOSTELERÍA Y TURISMO;81,5
Mujeres;Galicia;IMAGEN PERSONAL;69,2
Mujeres;Galicia;IMAGEN Y SONIDO;.
Mujeres;Galicia;INDUSTRIAS ALIMENTARIAS;90,8
Mujeres;Galicia;INDUSTRIAS EXTRACTIVAS;.
Mujeres;Galicia;INFORMÁTICA Y COMUNICACIONES;82,5
Mujeres;Galicia;INSTALACIÓN Y MANTENIMIENTO;50,0
Mujeres;Galicia;MADERA, MUEBLE Y CORCHO;72,6
Mujeres;Galicia;MARÍTIMO-PESQUERA;.
Mujeres;Galicia;QUÍMICA;.
Mujeres;Galicia;SANIDAD;.
Mujeres;Galicia;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;Galicia;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;100,0
Mujeres;Galicia;TEXTIL, CONFECCIÓN Y PIEL;56,9
Mujeres;Galicia;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;53,5
Mujeres;Galicia;VIDRIO Y CERÁMICA;.
Mujeres;Comunidad de Madrid;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Mujeres;Comunidad de Madrid;ADMINISTRACIÓN Y GESTIÓN;68,2
Mujeres;Comunidad de Madrid;AGRARIA;66,7
Mujeres;Comunidad de Madrid;ARTES GRÁFICAS;65,6
Mujeres;Comunidad de Madrid;ARTES Y ARTESANÍAS;.
Mujeres;Comunidad de Madrid;COMERCIO Y MARKETING;69,9
Mujeres;Comunidad de Madrid;EDIFICACIÓN Y OBRA CIVIL;.
Mujeres;Comunidad de Madrid;ELECTRICIDAD Y ELECTRÓNICA;50,3
Mujeres;Comunidad de Madrid;ENERGÍA Y AGUA;.
Mujeres;Comunidad de Madrid;FABRICACIÓN MECÁNICA;55,8
Mujeres;Comunidad de Madrid;HOSTELERÍA Y TURISMO;71,1
Mujeres;Comunidad de Madrid;IMAGEN PERSONAL;65,7
Mujeres;Comunidad de Madrid;IMAGEN Y SONIDO;.
Mujeres;Comunidad de Madrid;INDUSTRIAS ALIMENTARIAS;.
Mujeres;Comunidad de Madrid;INDUSTRIAS EXTRACTIVAS;.
Mujeres;Comunidad de Madrid;INFORMÁTICA Y COMUNICACIONES;65,1
Mujeres;Comunidad de Madrid;INSTALACIÓN Y MANTENIMIENTO;.
Mujeres;Comunidad de Madrid;MADERA, MUEBLE Y CORCHO;76,0
Mujeres;Comunidad de Madrid;MARÍTIMO-PESQUERA;.
Mujeres;Comunidad de Madrid;QUÍMICA;.
Mujeres;Comunidad de Madrid;SANIDAD;.
Mujeres;Comunidad de Madrid;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;Comunidad de Madrid;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Mujeres;Comunidad de Madrid;TEXTIL, CONFECCIÓN Y PIEL;.
Mujeres;Comunidad de Madrid;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;50,4
Mujeres;Comunidad de Madrid;VIDRIO Y CERÁMICA;.
Mujeres;Región de Murcia;ACTIVIDADES FÍSICAS Y DEPORTIVAS;..
Mujeres;Región de Murcia;ADMINISTRACIÓN Y GESTIÓN;71,4
Mujeres;Región de Murcia;AGRARIA;77,2
Mujeres;Región de Murcia;ARTES GRÁFICAS;85,1
Mujeres;Región de Murcia;ARTES Y ARTESANÍAS;..
Mujeres;Región de Murcia;COMERCIO Y MARKETING;80,2
Mujeres;Región de Murcia;EDIFICACIÓN Y OBRA CIVIL;..
Mujeres;Región de Murcia;ELECTRICIDAD Y ELECTRÓNICA;67,3
Mujeres;Región de Murcia;ENERGÍA Y AGUA;..
Mujeres;Región de Murcia;FABRICACIÓN MECÁNICA;75,0
Mujeres;Región de Murcia;HOSTELERÍA Y TURISMO;67,0
Mujeres;Región de Murcia;IMAGEN PERSONAL;80,7
Mujeres;Región de Murcia;IMAGEN Y SONIDO;..
Mujeres;Región de Murcia;INDUSTRIAS ALIMENTARIAS;88,6
Mujeres;Región de Murcia;INDUSTRIAS EXTRACTIVAS;..
Mujeres;Región de Murcia;INFORMÁTICA Y COMUNICACIONES;67,6
Mujeres;Región de Murcia;INSTALACIÓN Y MANTENIMIENTO;0,0
Mujeres;Región de Murcia;MADERA, MUEBLE Y CORCHO;56,5
Mujeres;Región de Murcia;MARÍTIMO-PESQUERA;..
Mujeres;Región de Murcia;QUÍMICA;..
Mujeres;Región de Murcia;SANIDAD;..
Mujeres;Región de Murcia;SEGURIDAD Y MEDIO AMBIENTE;..
Mujeres;Región de Murcia;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;..
Mujeres;Región de Murcia;TEXTIL, CONFECCIÓN Y PIEL;35,7
Mujeres;Región de Murcia;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;67,2
Mujeres;Región de Murcia;VIDRIO Y CERÁMICA;..
Mujeres;Comunidad Foral de Navarra;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Mujeres;Comunidad Foral de Navarra;ADMINISTRACIÓN Y GESTIÓN;92,9
Mujeres;Comunidad Foral de Navarra;AGRARIA;70,2
Mujeres;Comunidad Foral de Navarra;ARTES GRÁFICAS;73,7
Mujeres;Comunidad Foral de Navarra;ARTES Y ARTESANÍAS;.
Mujeres;Comunidad Foral de Navarra;COMERCIO Y MARKETING;75,8
Mujeres;Comunidad Foral de Navarra;EDIFICACIÓN Y OBRA CIVIL;100,0
Mujeres;Comunidad Foral de Navarra;ELECTRICIDAD Y ELECTRÓNICA;76,5
Mujeres;Comunidad Foral de Navarra;ENERGÍA Y AGUA;.
Mujeres;Comunidad Foral de Navarra;FABRICACIÓN MECÁNICA;70,0
Mujeres;Comunidad Foral de Navarra;HOSTELERÍA Y TURISMO;95,4
Mujeres;Comunidad Foral de Navarra;IMAGEN PERSONAL;85,9
Mujeres;Comunidad Foral de Navarra;IMAGEN Y SONIDO;.
Mujeres;Comunidad Foral de Navarra;INDUSTRIAS ALIMENTARIAS;40,0
Mujeres;Comunidad Foral de Navarra;INDUSTRIAS EXTRACTIVAS;.
Mujeres;Comunidad Foral de Navarra;INFORMÁTICA Y COMUNICACIONES;84,5
Mujeres;Comunidad Foral de Navarra;INSTALACIÓN Y MANTENIMIENTO;.
Mujeres;Comunidad Foral de Navarra;MADERA, MUEBLE Y CORCHO;100,0
Mujeres;Comunidad Foral de Navarra;MARÍTIMO-PESQUERA;.
Mujeres;Comunidad Foral de Navarra;QUÍMICA;.
Mujeres;Comunidad Foral de Navarra;SANIDAD;.
Mujeres;Comunidad Foral de Navarra;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;Comunidad Foral de Navarra;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Mujeres;Comunidad Foral de Navarra;TEXTIL, CONFECCIÓN Y PIEL;85,3
Mujeres;Comunidad Foral de Navarra;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;.
Mujeres;Comunidad Foral de Navarra;VIDRIO Y CERÁMICA;.
Mujeres;País Vasco;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Mujeres;País Vasco;ADMINISTRACIÓN Y GESTIÓN;96,8
Mujeres;País Vasco;AGRARIA;83,8
Mujeres;País Vasco;ARTES GRÁFICAS;95,3
Mujeres;País Vasco;ARTES Y ARTESANÍAS;.
Mujeres;País Vasco;COMERCIO Y MARKETING;88,2
Mujeres;País Vasco;EDIFICACIÓN Y OBRA CIVIL;.
Mujeres;País Vasco;ELECTRICIDAD Y ELECTRÓNICA;84,1
Mujeres;País Vasco;ENERGÍA Y AGUA;.
Mujeres;País Vasco;FABRICACIÓN MECÁNICA;82,5
Mujeres;País Vasco;HOSTELERÍA Y TURISMO;85,2
Mujeres;País Vasco;IMAGEN PERSONAL;92,1
Mujeres;País Vasco;IMAGEN Y SONIDO;.
Mujeres;País Vasco;INDUSTRIAS ALIMENTARIAS;0,0
Mujeres;País Vasco;INDUSTRIAS EXTRACTIVAS;.
Mujeres;País Vasco;INFORMÁTICA Y COMUNICACIONES;89,5
Mujeres;País Vasco;INSTALACIÓN Y MANTENIMIENTO;100,0
Mujeres;País Vasco;MADERA, MUEBLE Y CORCHO;91,7
Mujeres;País Vasco;MARÍTIMO-PESQUERA;.
Mujeres;País Vasco;QUÍMICA;.
Mujeres;País Vasco;SANIDAD;.
Mujeres;País Vasco;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;País Vasco;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;95,9
Mujeres;País Vasco;TEXTIL, CONFECCIÓN Y PIEL;49,3
Mujeres;País Vasco;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;81,3
Mujeres;País Vasco;VIDRIO Y CERÁMICA;.
Mujeres;La Rioja;ACTIVIDADES FÍSICAS Y DEPORTIVAS;50,0
Mujeres;La Rioja;ADMINISTRACIÓN Y GESTIÓN;71,3
Mujeres;La Rioja;AGRARIA;75,4
Mujeres;La Rioja;ARTES GRÁFICAS;.
Mujeres;La Rioja;ARTES Y ARTESANÍAS;.
Mujeres;La Rioja;COMERCIO Y MARKETING;82,2
Mujeres;La Rioja;EDIFICACIÓN Y OBRA CIVIL;.
Mujeres;La Rioja;ELECTRICIDAD Y ELECTRÓNICA;25,0
Mujeres;La Rioja;ENERGÍA Y AGUA;.
Mujeres;La Rioja;FABRICACIÓN MECÁNICA;100,0
Mujeres;La Rioja;HOSTELERÍA Y TURISMO;65,6
Mujeres;La Rioja;IMAGEN PERSONAL;59,6
Mujeres;La Rioja;IMAGEN Y SONIDO;.
Mujeres;La Rioja;INDUSTRIAS ALIMENTARIAS;.
Mujeres;La Rioja;INDUSTRIAS EXTRACTIVAS;.
Mujeres;La Rioja;INFORMÁTICA Y COMUNICACIONES;62,7
Mujeres;La Rioja;INSTALACIÓN Y MANTENIMIENTO;.
Mujeres;La Rioja;MADERA, MUEBLE Y CORCHO;.
Mujeres;La Rioja;MARÍTIMO-PESQUERA;.
Mujeres;La Rioja;QUÍMICA;.
Mujeres;La Rioja;SANIDAD;.
Mujeres;La Rioja;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;La Rioja;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;87,5
Mujeres;La Rioja;TEXTIL, CONFECCIÓN Y PIEL;97,5
Mujeres;La Rioja;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;100,0
Mujeres;La Rioja;VIDRIO Y CERÁMICA;.
Mujeres;Ceuta;ACTIVIDADES FÍSICAS Y DEPORTIVAS;100,0
Mujeres;Ceuta;ADMINISTRACIÓN Y GESTIÓN;0,0
Mujeres;Ceuta;AGRARIA;68,6
Mujeres;Ceuta;ARTES GRÁFICAS;.
Mujeres;Ceuta;ARTES Y ARTESANÍAS;.
Mujeres;Ceuta;COMERCIO Y MARKETING;71,7
Mujeres;Ceuta;EDIFICACIÓN Y OBRA CIVIL;.
Mujeres;Ceuta;ELECTRICIDAD Y ELECTRÓNICA;100,0
Mujeres;Ceuta;ENERGÍA Y AGUA;.
Mujeres;Ceuta;FABRICACIÓN MECÁNICA;.
Mujeres;Ceuta;HOSTELERÍA Y TURISMO;52,2
Mujeres;Ceuta;IMAGEN PERSONAL;75,7
Mujeres;Ceuta;IMAGEN Y SONIDO;.
Mujeres;Ceuta;INDUSTRIAS ALIMENTARIAS;.
